a	art.一(个) 每
motive	n.动机 目的 主题 adj.发动的 运动的 积极的 动机的 vt.促使 使有动机
motor	n.发动机 机动车 马达 汽车 adj.机动的 有引擎的 汽车的 v.(用引擎)驱动
mould	n.模子(样板 形状 霉菌 土 类型) 模型 vt.浇铸 模压(铸造发霉 形成 轮廓相符合) vi.发霉
mount	vt.登上 爬上 提升 装备 vi.增长 骑上(马) n.ft峰 乘用马框 衬纸
mountain	n.ft ft岳 ft脉 大量
mourn	vi.哀痛 哀悼 忧伤 服丧
mouse	n.老鼠 耗子 鼠标 胆小如鼠的人 乌青色的肿块 vi.捕鼠 蹑手蹑脚行动 vt.仔细寻找
mouth	n. 嘴 口 口腔 开口 需要供养的人 夸张说话的趋势 (河流等)入口 容器的开口 vt. 装腔作势说话 送进嘴里 喃喃自语 用唇语说 vi. 傲慢地说 嘟嘴扮鬼脸
mouthful	n.满口 一口 少量
move	vt. 使移动 使...感动 推动 (有时也意译为"跳槽") n. 移动迁居 步骤 动作 [计算机] 移动 vi. 移动 搬家 采取行动
movement	n.动作 活动 移动 运动 变动 趋势 通便 运转装置 [音] 乐章

单词	释义
movie	n.电影 电影院
much	adv.非常 很 adj.许多的 pron. & n.许多
mud	n.软泥 泥浆 恶意诽谤和攻击 vt.弄脏 污蔑
muddy	adj.多泥的 泥泞的 肮脏的 混浊的 v.弄脏 使...混浊 使迷惑
mug	n.大杯 脸 一杯的量 恶棍 vi.扮鬼脸 vt.攻击 打劫
multiple	adj.复合的 并联的 许多 多种多样的
multiply	vt.使增加 乘 vi.扩大 繁衍 做乘法 adv.多样地 多重地
murder	n.谋杀 凶杀 危险物 vt.谋杀 凶杀 折磨 损坏 vi.谋杀 凶杀
murderer	n.杀人犯 凶手
muscle	n.肌肉 肌 体力 vt.用力挤 vi.用力进行
museum	n.博物馆 展览馆
mushroom	n.蘑菇 菌类植物 暴发户 vi.扩张 迅速增加 采蘑菇
music	n.音乐 乐曲 乐谱 伴奏 美妙的声音
musical	adj.音乐的 和谐的 n.音乐片
musician	n.音乐家 作曲家
must	v.aux.必须 必然要 n.必须 一定 绝对 发霉 果汁 麝香
mute	adj.缄默的 哑的 无声的 n.哑巴 默音字母 弱音器 vt.减音减弱 vi.(鸟)排泄
mutter	vi.轻声低语 喃喃自语 作低沉声 抱怨 出怨言 n.喃喃低语
mutton	n.羊肉
mutual	adj.相互的 共同的
my	pron.我的 adj.我的(I的所有格形式) int.哎呦(用于表示惊讶的感叹词)
myself	pron.我自己 我亲自
mysterious	adj.神秘的 难以理解的 不可思议的
mystery	n.神秘 秘密 神秘的人或事物
nail	n.钉子 指甲 vt.钉 使牢固 抓捕 敲定
naked	adj.裸体的 无遮敝的 明白的 手无寸铁的
name	n.名字 名称 姓名 名誉 vt.说出 命名 称呼 任命 adj.有名的著名的
namely	adv.即 也就是
nap	n.小睡 打盹 瞌睡 绒毛表面 vi.小睡 疏忽 vt.使…起毛
narrow	adj.狭的 狭窄的 精密的 有限的 n.狭窄部份 海峡 隘路 vt.变窄 使...狭窄 vi.变窄
nasty	adj.龌龊的 淫猥的 令人作呕的 污秽的 低劣的 难懂的 危害的
nation	n.民族 国家
national	adj.民族的 国家的 n.国民
nationality	n.国籍 民族 族
native	adj.本土的 本国的 出生地的 天生的 n.本地人 土著人
natural	adj.自然界的 天然的 正常的 天生的 n.有天赋的人
naturally	adv.自然地 天然地
nature	n.大自然 自然界 自然状态 本性 性质 类型
naughty	adj.顽皮的 淘气的 粗俗的
naval	adj.海军的 军舰的 <古>船舶的
navigation	n.航行 航海术 导航
navy	n.海军 船队 深蓝色

单词	释义
near	adv. 近 接近 几乎 亲近 adj. 近的 接近的 亲近的 勉强的直接的 小气的 近似的 prep. 靠近vt. 靠拢 接近 vi. 接近
nearby	adj.附近的 adv.在附近 prep.在...附近
nearly	adv.差不多 几乎 密切地
neat	adj.整洁的 熟练的 巧妙的 端正的 极好的 纯的 adv.整齐地
necessarily	adv.必然 必定 必需地
necessary	adj.必要的 必需的 必然的 n. [pl.]必需品
necessity	n.必要性 必然性 需要 必需品
neck	n.颈 脖子
necklace	n.项链 项圈
need	vt.需要 必需 v.aux.需要 n.需要 必须 缺乏
needle	n.针 缝补 编织针 vt.用针缝 激怒 嘲弄 vi.缝纫
needless	adj.不需要的 无用的
negative	adj.否定的 消极的 负的 n.底片 负数 否定 vt.否定
neglect	vt.忽视 忽略 疏忽 不顾 n.疏忽 忽略 怠慢
Negro	n.(含歧视意味)黑人 adj.黑人的
neighbour	n.邻居(邻近的东西 邻近值) 邻国 邻人 vt.邻接(相邻 接近)
neighbourhood	n.邻居关系 邻近
neither	adj.(两者)都不的 皆不 int.两者都不 conj.既非 既不
nephew	n.侄子 外甥
nerve	n.神经(生物) 勇敢 胆量 精神 勇气 叶脉 vt.鼓起勇气
nervous	adj.神经(质)的 易激动的 紧张的 焦虑的
nest	n.巢 窝 穴 vt.嵌入 vi.筑巢
net	n.网 网状物 通信网 净利 实价 adj.净余的 纯粹的 vt.用网捕 撒网 净赚
network	n.网状物 网络 系统 广播网 vt.用网覆盖 联网 vi.加入网络
neutral	adj.中立的 中性的 n.中立者 空挡的 素净色
never	adv.永不 决不 不
nevertheless	conj.然而 不过 adv.仍然 不过
new	adj.新的 新近出现的 附加的 adv.新的
newly	adv.新近 重新地 最近
news	n.新闻 消息
newspaper	n.报纸 报 报社 新闻纸 v.从事新闻工作
next	adj.紧接的 贴近的 下一个的 adv.其次 n.下一个 prep.靠近
nice	adj.美好的 令人愉快的 漂亮的 善意的
niece	n.侄女 外甥女 教士的私生女
night	n.夜 夜间
nine	num.九 九个
nineteen	num.十九 十九个
ninety	num.九十 九十个
ninth	num.第九 九分之一 adj.第九的 九分之一的
nitrogen	n.氮
no	adv.不 并不 adj.没有 不是 绝非 n.不 拒绝 否决票
noble	adj.贵族的 高尚的 宏伟的 贵族的 高贵的 n.贵族
nobody	pron.谁也不 无人 没有人 n.无足轻重的人 小人物
nod	vt.点(头) 点头表示 打盹 摆动 v.点头 打盹 使...摆动
noise	n.喧闹声 响声 噪声 vt.谣传 vi.大声说话 发出噪音

单词	释义
noisy	adj.嘈杂的 喧闹的 发出噪声的
none	pron.没有人 没有任何东西 adv.毫不 一点也不
nonsense	n.胡说 废话 荒唐
noon	n.正午 中午 全盛期 顶点
nor	conj. & adv.也不 也没有 不 [计算机] "或非" "非或" abbr.诺曼人(=Norman) abbr.北方(=North) abbr.挪威(= Norway) abbr.挪威人(=Norwegian)
normal	adj.正常的 正规的 普通的 n.常态 标准
normally	adv.通常 正常地
north	n.北 北方 adj.北 北方的 adv.向北方
northeast	n.东北 adj.位于东北的 东北的 向东北的 来自东北的 adv.向东北 来自东北
northern	adj.北方的 北部的
northwest	n.西北 西北方 adj.位于西北的 西北的 在西北的 来自西北的 adv.向西北
nose	n.鼻子 突出部分 嗅觉 v.嗅 嗅到
not	adv.不 没有 [计算机] "非"
note	n.笔记 便条 注释 备忘录 音符 音调 票据 纸币 vt.记录 注解 注意
notebook	n.笔记本 笔记本电脑 期票簿
nothing	n.没有东西 微不足道的人或事 adv.毫不 pron.什么也没有
notice	vt.注意 通知 留心 n.通知 注意 布告
noticeable	adj.显而易见的 重要的
noun	n.名词
novel	n.小说 adj.新的 新奇的
November	n.十一月
now	adv. 现在 立刻 于是 adj. 现存的 目前的 n. 现在 此刻 conj. 既然 abbr.=National Organization of Women 全国妇女组织
nowadays	adv.现今 现在
nowhere	adv.任何地方都不 n.不知道的地方 无处
nuclear	adj.原子核的 原子能的 核心的
nucleus	n.核 核心 (原子)核 细胞核
nuisance	n.讨厌的东西 讨厌的人 伤害
number	n.数 数字 号码 数量 vi.总计 编号 vt.编号 把...算作
numerous	adj.为数众多的 许多
nurse	n.保姆 护士 奶妈 vt.看护 哺乳 vi.看护 照顾 栽培 当看护
nursery	n.托儿所 苗圃
nut	n.坚果 干果 螺母 螺帽 难对付的人(事) vi.采坚果
nylon	n.尼龙 耐纶 (复数nylons)：女长袜
oak	n.栎属植物 栎木 橡树 橡木 adj.橡木制的
oar	n.浆 橹 划手 v.划行
obey	vt.顺从 vi.服从 听从
object	n.物 物体 目的 目标 宾语 v.反对 提出...作为反对的理由抱反感
objection	n.反对 异议 不喜欢
objective	adj.客观的 目标的 无偏见的 n.目标 目的 物镜 =objective case 宾语

单词	释义
oblige	vt.迫使 强制 施恩惠于 vi.帮忙
observation	n.注意 观察 观察力 评论 adj.被设计用来观察的
observe	vt.遵守 看到 注意到 说 观察
observer	n.观察员 观测者
obstacle	n.障碍 障碍物 妨害 绊脚石
obtain	vt.获得 得到 买到 vi.通用 流行 存在
obvious	adj.明显的 显而易见的
obviously	adv.明显地 显然地
occasion	n.场合 时刻 时机 机会 理由 vt.致使 惹起 引起
occasional	adj.偶然的 临时的 不时的
occasionally	adv.偶然 非经常地
occupation	n.占领 占据 侵占 职业 居住
occupy	vt.占领 占 占有 占据 使忙碌 居住 担任
occur	vi.发生 出现 存在 想到
occurrence	n.发生 出现 事件
ocean	n.海洋 洋 大量
Oceania	n.大洋洲
o'clock	ad. =of the clock ...点钟
October	n.十月
odd	adj.奇数的 单只的 古怪的 剩余的
odour	n.气味 香气 味道 =odor(美)
of	prep.出生于 住在 关于 ...的 由于
off	adv. (离)开 (停)止 出发 距离隔断 分割 不继续运行 下台adj. 远的 休假的 空闲的 落后懈怠的 prep. 离开 脱落 下班vi. 离开 走开
offend	vt.冒犯 犯罪 vi.犯过错 令人不适 违反
offer	vt.提供 提出 出价 贡献 奉献 vi.提议 出现 求婚 n.提供 出价
office	n.办公室 职务 事务 处 局 社
officer	n.官员 干事 军官 vt.提供官员 指挥
official	adj.官员的 官方的 正式的 有权威的 n.官员
often	adv.经常 常常
oh	int.嗬 哦 唉呀
oil	n.油 石油 油画颜料 奉承话 vt.加油于 涂油 溶化
okay	(缩作OK)adv. & adj.<表示同意或允许>对 好 同意 vt.同意
old	a.老的 某年龄的 以前的 陈旧的 熟悉的 成熟的 ...岁的 n.古时 某年龄
omit	vt.省略 省去 遗漏 疏忽
on	prep. 在...上 在...旁 由...支撑着 在(某一天) 使用 根据[计算机] 开 adv. 穿着 向前(移动) 表示持续性 adj. 表示已连接、处于工作状态或使用中 表示发生 值班 abbr. =Ontario安大略湖 [北美洲]
once	adv.一次 曾经 n.一次 conj.一旦
one	num.一 pron.一个人 某人 任何人 n.一 第一个 一美元纸币adj.单一的 某一个 同一种类的 同意的 唯一的
oneself	pron.自己 亲自
onion	n.洋葱 洋葱头

单词	释义
only	adv.只 仅仅 专门地 唯一地 刚才 adj.最好的 唯一的 出众的conj.除非 但是 然而 毕竟
onto	prep.到...上
open	adj.开的开着的 开放的 公开的 vt.开 打开 公开 开放 开始vi.开 通行 大叫 n.公开 户外 空旷
opening	adj.开始的 n.开始 开口 揭幕 空缺的职务 动词open的现在分词
opera	n.歌剧 挪威Opera软件公司的浏览器软件
operate	vi.操作 施行手术 运转 vt.起作用 动手术
operation	n.操作 手术 运算 行动 活动
operational	adj.操作上的 可使用的 运作的
operator	n.操作人员 接线员 管理者 技工 报务员
opinion	n.意见 看法 主张 判断
opponent	n.对手 敌手 对抗者 反对者 adj.敌对的 反对的
opportunity	n.机会 时机 良机
oppose	vt.反对 反抗 以...对抗 抗争
opposite	adj.对面的 相对的 相反的 n.对立物 对立者 对手 adv.在对面地 处于相反位置地 prep.在...对面
oppress	vt.压迫 压制(某人) 压抑 使(心情等)沉重 使烦恼
optical	adj.眼的 眼睛的 视觉的 光学的
optimistic	adj.乐观的 乐观主义的
option	n.选择 选择权 可选物 vt.选择
optional	adj.可以任意选择的
or	conj.或 或者 即 还是 否则
oral	adj.口头的 口的 n.口试
orange	n.橙(树) 柑(树) 橙黄色 adj.橙色的
orbit	n.运行轨道 势力范围 眼眶 轨迹 vt.环绕 绕轨道而行 进入轨道 vi.盘旋
orchestra	n.管弦乐队
order	n.次序 整齐 勋章 阶级 决议 订单 命令 vt.命令 调整 定购
orderly	adj.整洁的 有秩序的 一丝不苟的 和平的 adv.有秩序地 有条理地 依次地 n.勤务兵 (医院的)勤务工
ordinary	adj.平常的 平凡的 普通的
ore	n.矿 矿石 矿砂
organ	n.器官 机构 管风琴 机关报刊
organic	adj.有机体的 器官的 根本的 接近自然的 n.有机物质
organism	n.生物体 有机体
organization	n.组织 团体 机构 adj.有组织的
organize	vt.组织 编组 vi.组织起来
oriental	adj.东方(人)的 东方国家的 贵重的
origin	n.起源 由来 出身
original	adj.最初的 新颖的 原始的 有独创性的 原版的 n.原件 原稿有独创性的人 怪人
ornament	n.装饰物 装饰 vt.装饰
orphan	n.孤儿 adj.无双亲的 孤儿的 vt.成孤儿
other	adj.另外的 别的 其余的 pron.另一个人(或事) n.其他人(或事) adv.否则 不同地

单词	释义
otherwise	adv.另外 要不然 否则 不同地 在不同方面 pron.其他 adj.不同的
ought	v.aux.应当 应该 conj.应该 大概
ounce	n.盎司 英两
our	pron.我们的 adj.我们的
ours	pron.我们的
ourselves	pron.我们自己
out	adv. 出 在外 向外 出现 现出来 离岸 外出 出去 出局 用尽完成 结束 adj. 外面的 向外的 落伍的 不做考虑的 vt. 释放出 结露 vi. 揭发 prep. 向外 通过 n. 外面 在野者 下台者出局的一击
outcome	n.结果 后果 成果
outdoor	adj.户外的 室外的 野外的 露天的
outdoors	adv.在户外 在野外 n.露天 野外 名词outdoor的复数形式
outer	adj.外部的 外面的
outlet	n.出口 出路 通风口 批发商店 排遣
outline	n.轮廓 略图 大纲 概要 素描 vt.描画轮廓 描述要点
outlook	n.观点 看法 展望 前景 景色
output	n.产量 输出量 输出 输出功率 输出端 vt.输出(信息等)
outset	n.开始 开端
outside	n.外部 外表 adj.外部的 adv.在外面 prep.在...外 pron.在...外边
outskirt	n.外边 郊区
outstanding	adj.突出的 杰出的 显著的 未支付的
outward	adj.外面的 向外的 表面的 外部的 adv.向外 在外 表面
outwards	adv.向外 在外 外表上 往海外 =outward
oven	n.炉 灶 烘箱 烤炉
over	prep.在...上方 超过 表示能控制 在...期间 adj.结束的 超过的 多余的 adv.结束 落下 穿过 完全覆盖 vt.越过
overall	n.工装裤 防护服 罩衫 adj.全面的 全部的 全体的 一切在内的 adv.总的来说 全部地
overcoat	n.外衣 大衣
overcome	vt.战胜 克服 (感情等)压倒 使受不了 vi.获胜 赢
overhead	adj.在头顶上的 架空的 高架的 n.经常开支 普通用费 adv.在头顶上 在空中 在高处 [计算机] 总开销
overlook	vt.眺望 俯瞰 远眺 看漏 放任 没注意到 忽视 n.高出
overnight	adv.一夜 昨晚一晚上 突然 adj.通宵的 晚上的 前夜的 n.前晚
overseas	adv.在海外 adj.在海外的
overtake	vt.追上 赶上 压倒 突然来袭
overtime	adj.超时的 加班的 adv.在规定时间之外(超出时间地) n.加班时间(加班加点费)
owe	vt.欠(债等) 应把...归功于 vi.欠钱
owl	n.猫头鹰 枭
own	adj.自己的 嫡亲的 vt.有 拥有 承认 vi.承认 pron.自己的
owner	n.物主 所有人
ownership	n.所有(权) 所有制
ox	n.牛 公牛 阉牛

单词	释义
phase	n.阶段 时期 局面 方面 相位 vt.逐步执行 实行 按计划进行
phenomenon	n.现象 非凡的人或事物
philosopher	n.哲学家 思想家 达观者
philosophy	n.哲学 哲理 人生观
phone	n.电话 电话机 耳机 [语] 音素 v.打电话 suf.表示“声音说...语言的人”
photograph	n.照片 相片 vi.照相 摄影 vt.给...照相
photographic	adj.摄影的 摄影用的 逼真的
phrase	n.短语 习惯用语 个人风格 乐句 vt.措词表达 将(乐曲)分成乐句(来演奏)
physical	adj. 身体的 物质的 物理的 n.体检
physician	n.医生 内科医生
physicist	n.物理学家 <古>自然科学家
physics	n.物理学
piano	n.钢琴 adj. & adv.轻柔
pick	n.镐 鹤嘴锄 采摘 精选 精品 收获量 vt. 拾 摘 挑选 挑惕剔除 戳 撬 vi.慎选 凿 吹毛求疵 采收 采摘
picnic	n.郊游 野餐 愉快的时间 猪脊肉 vi.野餐
picture	n.画 图片 照片 景色 vt.画 描写 想像
pie	n.(西点)馅饼 派 杂乱 喜鹊 爱说话的人 饼图 vt.弄乱
piece	n.碎片 块 片 篇 vt.拼合 修补 结合
pierce	vt.剌穿 穿透 洞悉 vi.穿入 n. 皮尔斯
pig	n.猪 小猪 野猪
pigeon	n.鸽子
pile	n.堆 桩 大量 核反应堆 vt.堆叠 堆积 累积 装载 vi.形成堆拥挤进入
pill	n.药丸 丸剂 无法逃避的讨厌事 屈辱事 vt.服用药丸 把...制成药丸 被抢劫 vi.起球粒 成丸状 阶段性完成
pillar	n.柱 柱子 栋梁 支柱 核心(人物) vt.用柱支持
pillow	n.枕头 vt.枕 搁 垫
pilot	n.领航员 飞行员 引航员 vt.领航 驾驶 向导 adj.引导的 示范的
pin	n.针 饰针 大头针 拴 (有别针的)徽章 小东西 (复数)腿 别住vt.将...用针别住 钉住 压住 adj.别针的
pinch	vt.捏 拧 掐掉 一撮 少量 困苦 偷窃 vt.掐 使...困苦 偷窃
pine	n.松树 松木 vi.消瘦 憔悴 渴望
pink	n.粉红色 石竹花 典范 adj.粉红色的 激进的 vt.刺
pint	n.品脱
pioneer	n.拓荒者 先驱者 先锋 vt.提倡 开辟 vi.做先驱
pipe	n.管子 导管 烟斗 笛 vt.以管输送 装管道 吹奏 尖声说 拷边vi.吹奏管乐 尖叫
pipeline	n.管道 管线
pistol	n.手枪 vt.用手枪射击
pit	n.坑 地坑 煤矿 深坑 核 矿井 陷阱 英国剧场正厅后排 凹陷疤痕 vt.使...有伤痕 去...的核 与...较量
pitch	n.沥青 树脂 松脂 n.程度 投掷 球场 音高 vt.投 掷 颠簸 扎牢 搭帐篷 定调 vi.用沥青覆盖 投掷
pity	n.怜悯 遗憾 遗憾的事 vt.同情 怜悯

单词	释义
place	n.地方 地点 住所 职位 获奖的名次 vt.放置 任命 安排 vi.获得名次
plain	n.平原 草原 adj.清楚的 坦白的 简单的 平坦的 平常的 纯的
plan	n.计划 策略 方法 vt.计划 设计 打算vi.打算
plane	n.平面 飞机 刨子 (动植物的)属 adj.平的 与飞机有关的 vt.磨平 刨 vi.开飞机
planet	n.行星
plant	n.植物 工厂 设施 设备 vt.栽种 种植 建立 设立
plantation	n.种植园 大农场 殖民地 栽植
plaster	n.灰泥 硬膏 熟石膏 膏药 v.涂以灰泥 敷以膏药 使...平
plastic	adj.可塑料的 可塑的 体态好的 n.塑料 (外科)整形的 信用卡
plate	n.板 片 盘 碟 金属板 板块 vt.镀金 电镀 为...制印版给...装钢板 用金属板固定
platform	n.平台 站台 讲台 月台 坛 计划
play	vi.玩 游戏 演奏 进行比赛 播放 捉弄 假装 n.游戏 游玩 剧本 比赛 比赛中的动作 影响
player	n.游戏的人 比赛者 演奏者 演员 播放器
playground	n.操场 运动场
pleasant	adj.令人愉快的 舒适的 vi.满意 喜欢 vt.使高兴
please	vt.取悦 使高兴 合心意 请vi.取悦 满意adv.请
pleasure	n.愉快 快乐 乐事 vt.使高兴 vi.享受快乐 高兴
plentiful	adj.丰富的 富裕的 多的
plenty	n.丰富 充足 大量 繁荣 adj.充足的 adv.非常
plot	n.小块土地 阴谋 情节 图 vt.密谋 绘图 计划 标示位置
plough	n.犁 耕地 vt. & vi.犁 耕 用犁耕田 耕犁
pluck	vt.采 摘 拉下 猛拉 拔 n.拉 猛拉 勇气 动物内脏
plug	n.塞子 插头 消防拴 电插头 vt.塞 射杀 宣传 vi.射杀 持续的工作
plunge	vt.使投入 使陷入 vi.投入 骤降 使...陷入 全神贯注于 n.突然跌落 跳水
plural	adj.复数的 n.复数
plus	prep.加 加上 另外 adj.正的 略高于 n.加号 正号 优势 conj.并且
P.M.	n.下午 午后 abbr.下午(=post meridiem [mə'ridi:əm])
pocket	n.衣袋 口袋 钱 袋 袖珍的 vt.装...在口袋里 隐藏 私吞adj.小型的 钱的
poem	n.诗 韵文 诗体文
poet	n.诗人
poetry	n.诗 诗歌 诗作
point	n.点 要点 细目 分 尖端 细节 目标
poison	n.毒 毒药 败坏道德之事 毒害 vt.毒害 摧毁 中毒 adj.有毒的
poisonous	adj.有毒的 有害的 恶意的
pole	n.杆 柱 极(点) 磁极 电极 vt.跳 支撑 vi.用篙撑船
police	n.警察 警察当局 警方 vt.管辖 维持治安
policeman	n.警察
policy	n.政策 方针 保险单

单词	释义
polish	vt.磨光 擦亮 使优美 推敲 完善 vi.变光亮 n.光泽 上光剂优雅 精良
Polish	adj.波兰的 波兰人的 波兰语的 n.波兰语
polite	adj.有礼貌的 有教养的 客气的
political	adj.政治的 政治上的 政党的 派系斗争的 有政治头脑的
politician	n.政治家 政客
politics	n.政治 政治学 政纲 政策 政治活动 政见
pollute	vt.弄脏 污染 沾污
pollution	n.污染 污染物
pond	n.池塘 vt.堵河成湖 vi.形成池塘
pool	n.水塘 游泳池 水池 撞球 共用物 vi.形成池塘 vt.集中 积累
poor	adj.贫穷的 贫乏的 可怜的 缺乏的 拙劣的
pop	n. 流行音乐 流行歌曲 流行文化艺术 取出 砰的一声 爆破声 (尤用作称呼)爸 adj. 流行的 热门的 通俗的 vt. 取出 发出爆裂声 突然伸出 击打 开火 vi. 发出砰的一声 (因激动、惊奇)张大 adv. 突然间地 暴发地 POP abbr.=point of purchase POP abbr.=population 人口
popular	adj.民众的 流行的 有销路的
population	n.人口 全体居民
porch	n.门廊 入口处
pork	n.猪肉 联邦或州政府用以笼络人心的工程或款项
porridge	n.粥 麦片粥
port	n.港 港口 舱门 码头 机场 (船 飞机的)左舷 [计算机] 端口 abbr. =portable portrait [Port] abbr. =Portugal
portable	adj.轻便的 手提的 n.便携的东西
porter	n.搬运工人 门房 (火车卧铺车厢或豪华车厢的)乘务员 (医院商店中的)清洁工 (旧时)黑啤酒 波特(人名)
portion	n.一部分 一分 份 命运 分担的责任
portrait	n.消像 画像 adj.(文件页面)竖的
Portugal	n.葡萄牙
Portuguese	n.葡萄牙人 葡萄牙语 adj.葡萄牙的 葡萄牙人的 葡萄牙语的
position	n.位置 职位 姿势 状态 立场 vt.安置 决定...的位置
positive	adj.确定的 积极的 肯定的 绝对的 正面的 正数的 阳性的
possess	vt.占用 拥有(财产) 持有 支配
possession	n.有 财产 拥有 所有 占有物
possibility	n.可能 可能的事 可能性 潜在的价值
possible	adj.可能的 可能存在的
possibly	adv.可能地 也许
post	n.柱 桩 杆 标竿 邮件 邮政 邮寄 职位 岗位 哨所 vt.贴出邮递 发布 布置
postage	n.邮费 邮资 邮资已付邮戳
postman	n.邮递员=mailman
postpone	vt.延迟 推迟 延缓
pot	n.锅 壶 罐 盆 一大笔(钱) vt.把...装罐 (台球)入袋
potato	n.马铃薯 土豆
potential	adj.潜在的 可能的 n.潜力 潜能 电位 电势
pound	n.磅 英磅 宠物收留所 拘留所 vt.连续猛击 捣碎 舂烂 敲打vi.跳动 大声播放

单词	释义
pour	vt.灌 倒 流出 倾泻 骤雨 vi.倾泻 蜂涌而来 倒
poverty	n.贫穷 贫困 贫乏
powder	n.粉末 药粉 火药 细雪 vt.洒粉于 使变成粉 重击 vi.变成粉涂粉
power	n.能力 力 权 权力 幂 力量 电力 vt.供电 激励 全速前进adj.与力量有关的 与权力有关的 电力控制的
powerful	adj.强有力的 有权威的
practical	adj.实践的 实用的 明智的 n.实践考试
practically	adv.实际上 几乎 简直 adj.实际的 几乎
practice	n.实践 练习 业务 实行 习惯 vt. & vi.练习 实习 开业
practise	vt.练习 实习 训练 实践(使...练习 养成...的习惯)
praise	n.赞扬 赞美 称赞 崇拜 vi.赞扬 vt.称赞 归荣誉于 赞美
pray	vt. &vi.请求 恳求 祈祷
prayer	n.祈祷 祈求 祷告 祷文 v.祷告 祷文
precaution	n.预防(措施) 警惕
preceding	adj.在前的 在先的
precious	adj.珍贵的 宝贵的 矫揉造作的adv.极其地
precise	adj.精确的 准确的 认真的
precision	n.精确 精密 精密度 adj.以精准的执行著称的 经得起极精细测量的
predict	v.预言 预告 预测 预报
preface	n.序言 前言 引语 v.作序 写前言 以...开始
prefer	vt.宁可 宁愿 较喜欢 vt.【法】提出(控告)
preferable	adj.更可取的 更好的 更合意的
preference	n.偏爱 喜爱物 优先 优先权
prejudice	n.偏见 成见 伤害 vt.使...存偏见 伤害
preliminary	adj.预备的 初步的 开始的 n.初步行动 准备 初步措施
premier	n.总理 首相 adj.第一的 首位的 最初的
preparation	n.准备 预备 制备
prepare	vt. & vi.准备 预备 整合
preposition	n.前置词 介词
prescribe	vt.命令 规定 开处(方) vi.规定 开药方
presence	n.出席 到场 在 在场者 所在地方 举止
present	adj.现在的 当面的 出席的 n.礼物 赠送物 现在 目前
present	vt.赠送 介绍 提出 呈现
presently	adv.一会儿 目前 不久 现在 <古> 当即 立刻
preserve	vt.保护 保存 保持 腌渍 vi.保存 n.蜜饯 专供私人行猎或捕鱼的保留区
president	n.总统 总裁 总经理 校长 会长 社长
press	vt.压 按 揿 催促 逼迫 强迫服役 征用 n.新闻界 压力 强迫服役
pressure	n.压力 压强 压迫 压 按
pretend	vt.假托 借口 vi.假装 伪称 adj.假装的 赝品的 模拟的
pretty	adj.漂亮的 标致的 机灵的 恰当的 美好的 adv.相当地 n.(复数)妇女内衣 漂亮的人或物 vt.使漂亮
prevail	vi.胜 优胜 获胜 流行 盛行 主导
prevent	vt.预防 防止 阻止
previous	adj.先的 前的 在...之前 以前的 adv.在前

单词	释义
previously	adv.先前 预先 仓促地
price	n.价格 价钱 代价 vt.定格 标价 比较价格
pride	n.骄傲 自豪 自尊 一群狮子 vt.自夸 以...自豪
priest	n.教士 牧师 神父
primarily	adv.首先 主要地
primary	adj.最初的 基本的 主要的 根本的 初等教育的 n.最主要者初选 原色 初级线圈
prime	adj. 首要的 最初的 最好的 典型的 n. 春 青春 壮年 全盛时期 n. [数]质数 vt. 事先指点 在(金属、木材等上)打底漆 vi.变得首要
primitive	adj.原始的 粗糙的 n.原始人 文艺复兴前的艺术家
prince	n.王子 亲王 佼佼者
princess	n.公主 王妃 贵妇 adj.(礼服)合身而好看的 有贵族气息的
principal	adj.主要的 首要的n.负责人 首要 校长
principle	n.原则 原理 主义 信念
print	vt.印刷 出版 打印 n.印刷 正片 版 印刷物 印迹 adj.印刷的
prior	adj.在先的 优先的 更重要的 较早的 adv.居先 n.小修道院院长 大修道院副院长
prison	n.监狱 监禁
prisoner	n.囚犯
private	adj.私人的 私下的 隐蔽的 n.士兵 列兵
privilege	n.特权 优惠 特别恩典 基本人权 荣幸 vt.给特权 免除
prize	n.奖赏 奖金 奖品 珍品 战利品 vt.珍视 重视 adj.奖励的 杰出的
probability	n.可能性 概率 机率
probable	adj.或有的 大概的 很可能的 n.很可能的事
probably	adv.或许 大概
problem	n.问题 习题 adj.成问题的 难对付的
procedure	n.程序 手续 过程 步骤 常规的做法
proceed	vi.进行 开始 着手 继续进行
process	n.过程 工序 vt.加工 处理 起诉 vi.列队前进 adj.经过加工的
procession	n.队伍 行列 v.列队行进
proclaim	vt.宣告 宣布 表明 公布 赞扬 显示出
produce	vt.生产 产生 展现 提出 引起 分娩 制片 vi.生产 制造 n.产品 农作物
product	n.产品 产物 (乘)积
production	n.生产 产品 总产量 作品 成果
productive	adj.生产的 丰饶的 有生产价值的 多产的
profession	n.职业 专业 声明 信仰
professional	adj.职业的 专业的 n.专业人员
professor	n.教授 宣称者
profit	n.益处 利润 盈利比率 vi.得益 利用 获利 vt.有益于
program	n.节目单 大纲 程序 计划 vt.规划 拟定计划 制作节目
progress	n.前进 进展 进步 vi.促进 进步 进行
progressive	adj.进步的 向前进的 渐进的 n.进步人士
prohibit	vt.禁止 阻止 妨碍

单词	释义
project	n.方案 工程 项目 计划 vi.伸出 投射 放映 凸出 vt.计划 设计 表达
prominent	adj.实起的 突出的 杰出的 显著的
